,zipcode,latitude,longitude,cluster,x,y
2112,35953,43.0426,-91.1193,8,395357.32084081887,2237615.7037850725
2113,38866,41.7455,-70.5905,1,2073049.438943871,2361242.9608338634
2114,07419,40.4642,-79.9448,9,1343435.272445072,2052735.8726725457
2115,54703,39.7612,-86.812,3,778885.0179583157,1897900.827173427
2116,29316,40.0275,-75.2242,11,1743463.841353382,2081396.2293214267
2117,15717,37.4791,-122.4459,5,-2286761.8941859896,1924694.1464831175
2118,02139,40.9086,-73.8221,11,1836226.375693257,2203993.9693226796
2119,28351,41.8883,-70.7678,1,2054734.6125148775,2372805.9528166763
2120,39455,34.8305,-87.656,4,755968.0533474883,1341046.5111542896
2121,75158,40.653,-74.261,11,1807021.2985710124,2167716.2720287684
2122,35906,41.995,-70.741,1,2053730.006488229,2384903.0845529637
2123,19131,32.8888,-86.907,4,844355.8636178572,1131310.7167276856
2124,28217,40.593,-79.5581,9,1372989.4896961679,2072479.503141693
2125,35763,36.7978,-76.1759,7,1739748.034100038,1710219.122664295
2126,43824,41.0915,-74.375,11,1786631.936918071,2213393.7291114302
2127,02131,38.9786,-81.9258,10,1203537.190023935,1861795.3512308402
2128,44914,34.8677,-81.2368,7,1333244.782382954,1415766.436095822
2129,98310,37.745,-122.4383,5,-2277937.827838466,1953165.8343864244
2130,28562,33.3992,-87.5599,4,778841.3671930648,1182466.8220339145
2131,76248,40.6336,-73.996,11,1829155.0283415997,2170670.4224151014
2132,76230,38.7457,-104.7223,6,-749951.8073073596,1780847.1776969135
2133,46766,35.901,-81.2124,7,1317507.020134991,1530364.0428795856
2134,29476,47.2666,-122.2435,17,-1971770.2827024732,2971176.100927893
2135,75706,40.1217,-74.0611,11,1836961.031888716,2113595.8777144686
2136,02364,40.5986,-105.0581,6,-758977.9814411431,1990236.088791618
2137,01749,37.8231,-122.3693,5,-2269748.5498740156,1959932.507301895
2138,08840,33.7367,-86.1619,4,903523.1989655283,1232364.9707677397
2139,94335,40.5681,-79.841,9,1350067.861228146,2065678.3279476592
2140,95054,37.6886,-76.3616,7,1703203.3500655876,1804533.7522996496
2141,10026,31.3434,-88.9101,19,671582.7964732696,943731.3224619267
2142,33187,40.108,-104.8013,6,-742605.8450618834,1933490.311347362
2143,99338,39.7038,-86.3029,3,822551.7006460894,1895789.8223332162
2144,77048,32.9503,-96.819,0,-76106.60910842956,1098075.519523957
2145,35172,37.7983,-121.0006,5,-2155467.6628185823,1925386.512226999
2146,80913,29.5842,-96.3354,14,-32489.482341001567,723311.9059534384
2147,07067,37.3547,-122.0862,5,-2260228.489274534,1902676.9120992832
2148,01826,38.2688,-77.5476,7,1589134.5018502073,1847719.095662461
2149,94601,32.4593,-82.9381,4,1217494.8314470707,1126778.0007662685
2150,48236,33.4944,-84.3797,4,1069746.655835171,1223974.1803919831
2151,10021,40.4413,-79.2533,9,1401159.3327178678,2060194.177443391
2152,46016,44.8346,-91.5159,8,353829.57962623704,2435660.963841306
2153,11386,25.596,-80.507,12,1565527.7468465047,411302.57135382167
2154,80621,31.2811,-85.7305,4,972523.5837283531,964333.383007666
2155,82201,42.7281,-70.9822,1,2013245.9805499269,2458859.9079679074
2156,23875,37.3663,-77.1082,7,1646457.7265902208,1755994.8546039609
2157,11365,40.6301,-74.1607,11,1815795.9002958762,2167130.29428342
2158,82070,39.7682,-87.1978,3,746203.0727586052,1895586.0714504642
2159,94578,40.878,-74.6554,11,1769183.5635539466,2184849.5450289655
2160,75143,37.7024,-122.124,5,-2252843.4289398473,1941080.5182533583
