,zipcode,latitude,longitude,cluster
365,94114,37.5133,-77.5646,8
366,35126,39.9227,-75.1812,18
367,28173,40.7607,-74.1882,17
368,07853,33.9299,-87.4324,14
369,55967,32.9628,-96.3648,5
370,35952,32.3321,-96.6224,5
371,07869,32.7287,-96.6228,5
372,75160,40.9229,-74.5094,17
373,43147,40.8789,-74.1081,17
374,39180,40.1245,-75.3304,18
375,43160,28.8636,-95.9173,6
376,01801,40.578,-74.3589,17
377,11211,40.7229,-73.8473,17
378,15050,35.2495,-81.133,4
379,19138,40.1445,-82.6973,15
380,55082,40.6152,-74.415,17
381,98052,44.4305,-92.2838,7
382,23968,32.9462,-96.7058,5
383,02125,40.7173,-73.8792,17
384,94102,37.2458,-121.8306,0
385,33136,33.506,-86.893,14
386,43123,37.1819,-77.3854,8
387,43207,32.6722,-96.7774,5
388,76401,40.7692,-74.2355,17
389,29720,32.3038,-89.964,13
390,28630,33.5179,-86.8372,14
391,45385,47.8392,-122.2855,1
392,95051,40.732,-74.1765,17
393,95119,39.9426,-82.9748,15
394,19428,35.3516,-81.0959,4
395,48238,29.7119,-95.4845,6
396,43157,40.7685,-73.9588,17
397,01852,39.868,-104.9719,2
398,48219,39.8286,-105.0655,2
399,07064,35.2731,-80.9571,4
400,25526,41.0695,-74.8069,-1
401,80424,25.8325,-80.2808,3
402,23824,39.8854,-105.1139,2
403,98106,32.8958,-96.8588,5
404,43084,40.9238,-73.9989,17
405,10030,40.3074,-79.5424,12
406,75204,39.7878,-104.8288,2
407,02740,42.254,-71.1261,9
408,80233,47.7423,-122.6277,1
409,07057,40.2825,-74.3424,-1
410,98321,36.8337,-121.3439,0
411,80218,40.3849,-82.4873,15
412,77005,32.9682,-96.7942,5
413,55976,40.4001,-80.0462,12
414,98103,33.9534,-86.7455,14
415,07663,47.8401,-122.1972,1
416,11385,32.9492,-96.4418,5
417,23227,33.5884,-86.9597,14
418,28601,40.8103,-82.9698,15
419,77539,40.9477,-74.0672,17
420,29732,29.6228,-95.5678,6
421,35068,48.3151,-122.6374,1
422,15021,40.8529,-74.8343,-1
423,98115,33.6756,-86.409,14
424,11377,35.7576,-81.3289,4
425,08753,37.3304,-121.7913,0
426,27891,33.2845,-87.1024,14
427,80014,33.6035,-86.4668,14
428,28117,47.305,-122.2067,1
429,35004,39.8647,-86.1181,16
430,48035,40.4346,-79.8655,12
431,98502,29.8892,-95.3935,6
432,19046,37.3293,-121.8339,0
433,07042,37.318,-122.0449,0
434,07003,42.3661,-83.1422,10
435,35033,47.5754,-122.6958,1
436,28677,40.8246,-73.9507,17
437,39206,33.6017,-86.8265,14
438,80401,37.3492,-121.953,0
439,28203,39.6255,-104.7874,2
440,94112,29.8817,-95.4539,6
441,50478,47.6478,-122.538,1
442,14534,47.6786,-122.1894,1
443,07012,33.4653,-86.8082,14
444,08046,24.5552,-81.7816,3
445,98006,35.4011,-80.8695,4
446,36274,29.9249,-95.0578,6
447,02066,39.9551,-82.8035,15
448,73757,39.5102,-104.7216,2
449,43212,37.3249,-121.9153,0
450,93907,32.0868,-96.4762,5
451,43223,29.7705,-94.9695,6
452,75409,40.7271,-74.1563,17
453,02114,47.6462,-122.0386,1
454,80124,40.7006,-73.918,17
455,39474,37.631,-77.546,8
456,08081,35.2295,-81.7492,4
457,96001,40.2926,-79.4103,12
458,47901,40.6354,-74.2556,17
459,19111,32.8653,-96.9905,5
460,98055,40.6664,-74.1192,17
461,43782,40.7484,-73.9967,17
462,60611,35.1677,-80.7932,4
463,28269,30.0042,-95.1728,6
464,77073,33.3538,-86.8254,14
465,77302,32.8224,-85.7704,14
466,43021,32.8463,-96.6972,5
467,39038,39.7002,-105.0028,2
468,77373,32.877,-96.708,5
469,46217,33.177,-86.6161,14
470,35504,40.4532,-79.8995,12
471,98039,40.7446,-73.9345,17
472,46112,47.6151,-122.3447,1
473,55960,39.7316,-82.9446,15
474,77320,37.4126,-76.5464,8
475,47448,29.9067,-95.3334,6
476,23836,29.7242,-95.3178,6
477,55912,25.8507,-80.2366,3
478,54304,40.5904,-74.6267,17
479,47408,32.2435,-90.2612,13
480,15527,37.4638,-77.398,8
481,07112,40.8731,-74.7426,17
482,48141,39.7902,-85.8141,16
483,75092,42.3611,-71.0682,9
484,48167,39.9388,-83.0463,15
485,39212,44.0373,-92.6308,7
486,08807,33.0041,-96.5394,5
487,80436,47.6174,-122.1426,1
488,07093,39.5994,-105.0044,2
489,80002,42.4003,-71.1221,9
490,48206,34.0516,-86.7848,14
491,46929,39.2301,-85.8855,16
492,07036,37.0916,-77.9851,8
493,33143,35.584,-80.8685,4
494,75243,41.905,-71.1026,9
495,35128,39.7175,-83.2806,15
496,80231,39.9061,-82.7563,15
497,23831,42.3164,-71.1612,9
498,28215,32.9657,-96.8825,5
499,80015,29.7936,-95.3675,6
500,98166,47.7467,-122.3686,1
501,35080,40.0009,-82.6687,15
502,08510,39.537,-83.455,15
503,98104,32.3886,-89.9584,13
504,43081,40.1785,-75.1072,18
505,77339,37.4782,-77.5854,8
506,23229,33.1345,-95.5922,5
507,11103,35.1908,-80.7448,4
508,98168,39.4776,-86.4668,16
509,19006,42.4665,-83.0593,10
510,75181,29.9335,-95.3981,6
511,07001,32.826,-96.7843,5
512,77547,35.9149,-81.5398,4
513,98209,35.4837,-80.9898,4
514,77009,40.8295,-73.8716,17
515,56062,42.2093,-70.9963,9
516,43028,47.9017,-122.2472,1
517,48235,40.1547,-74.9904,18
518,08857,29.6297,-95.4382,6
519,80210,37.0048,-121.9507,0
520,07108,43.6394,-94.0924,7
521,98948,39.4895,-104.8447,2
522,36279,32.6605,-97.0311,5
523,35054,34.9809,-80.0696,4
524,23890,42.3773,-82.9513,10
525,35570,40.4072,-79.9839,12
526,98122,40.0172,-105.2851,2
527,93720,34.0296,-86.0967,14
528,08837,43.9585,-92.0517,7
529,98178,39.7509,-86.1924,16
530,98144,39.9636,-104.9072,2
531,91335,40.6087,-74.2819,17
532,45612,33.4558,-86.9118,14
533,77423,47.4483,-122.2731,1
534,94571,40.5937,-74.3164,17
535,01833,40.8496,-73.9356,17
536,76012,40.8376,-73.9216,17
537,98177,33.5678,-86.7199,14
538,36701,29.9196,-95.4386,6
539,45506,39.8974,-82.4071,15
540,26047,29.7009,-95.1989,6
541,15401,32.6833,-96.5964,5
542,11318,40.7012,-73.9436,17
543,07838,31.5858,-90.452,13
544,75254,37.6628,-77.534,8
545,15469,29.8744,-95.5278,6
546,28610,40.939,-74.6616,17
547,99320,42.2918,-71.0717,9
548,39157,39.759,-104.9661,2
549,46231,40.3805,-79.9667,12
550,23889,33.1934,-86.7944,14
551,19142,34.7149,-81.2186,4
552,94025,40.2754,-81.866,15
553,55971,25.7825,-80.2341,3
554,35160,40.8445,-74.4824,17
555,47940,44.024,-92.7464,7
556,80204,39.7665,-105.0204,2
557,75241,40.7321,-74.066,17
558,28037,37.6237,-121.0438,0
559,39111,29.6876,-95.3011,6
560,80205,48.1065,-123.4384,1
561,02124,47.9884,-122.2006,1
562,35549,39.688,-104.9108,2
563,35031,34.0878,-86.9447,14
564,23838,39.9845,-75.2282,18
565,19082,40.8019,-73.9531,17
566,10028,46.5934,-120.5311,1
567,48386,40.1496,-75.3796,18
568,55901,29.8534,-95.4435,6
569,80033,29.6686,-95.3382,6
570,60523,39.7783,-104.7557,2
571,98188,40.4598,-79.8224,12
572,08730,39.9719,-82.9691,15
573,75454,33.5452,-86.6655,14
574,23047,47.7684,-122.1271,1
575,35062,44.0834,-93.5108,7
576,22407,35.0869,-80.8167,4
577,48192,33.2932,-86.768,14
578,35501,29.6947,-95.6511,6
579,80224,42.0794,-71.04,9
580,07601,35.8651,-80.8858,4
581,35188,39.7313,-104.9811,2
582,95341,40.7143,-74.006,17
583,94024,39.6463,-105.0092,2
584,02176,37.5157,-77.2758,8
585,80110,39.6575,-104.7846,2
586,80227,40.4988,-86.1453,16
587,74555,40.0118,-75.1861,18
588,03842,39.9444,-82.8903,15
589,77089,40.5839,-73.9536,17
590,07726,29.7736,-95.4034,6
591,95131,33.1098,-86.756,14
592,43701,40.6565,-74.2215,17
593,98409,32.9643,-96.6012,5
594,80203,48.1829,-122.1121,1
595,98841,40.7119,-73.7944,17
596,81401,39.838,-104.9988,2
597,77008,40.4538,-74.4823,17
598,10014,33.0746,-86.0781,14
599,43220,39.8268,-86.1386,16
600,47803,40.6205,-73.9239,17
601,10035,33.9093,-87.5403,14
602,35903,39.7074,-104.9686,2
603,28001,40.6554,-74.3057,17
604,75474,32.4671,-90.1087,13
605,56006,29.7971,-95.4958,6
606,35057,39.7628,-86.5343,16
607,31021,33.8374,-86.2552,14
608,98843,33.9318,-86.0898,14
609,98040,35.1714,-80.9084,4
610,10454,29.7422,-95.4903,6
611,36024,47.8049,-122.2855,1
612,49239,32.7582,-96.7623,5
613,29928,33.8256,-87.0161,14
614,60647,32.8252,-96.8388,5
615,75056,40.7687,-80.3592,12
616,08831,42.3524,-83.0271,10
617,18092,48.2011,-122.378,1
618,07730,39.943,-104.7866,2
619,80701,25.7864,-80.2042,3
620,10075,40.3054,-75.1489,18
621,07060,33.1047,-96.0927,5
622,36206,42.3756,-83.2889,10
623,43031,40.1088,-82.9742,15
624,39066,40.7375,-73.9813,17
625,23237,40.0825,-75.3044,18
626,16229,39.6662,-104.835,2
627,10460,32.8038,-96.7851,5
628,19403,35.5759,-81.1745,4
629,33135,33.1854,-96.1304,5
630,35111,29.7461,-94.9653,6
631,28135,42.5151,-70.9003,9
632,11421,40.6327,-106.9318,2
633,95148,40.7278,-73.8602,17
634,10451,40.9922,-80.3284,12
635,95060,39.7312,-104.9129,2
636,76051,48.749,-122.4887,1
637,60610,35.1355,-80.7669,4
638,80129,35.1836,-81.4552,4
639,15851,40.6479,-74.3451,17
640,07020,40.4723,-79.9132,12
641,07676,47.0129,-122.8763,1
642,35007,40.3295,-79.6144,12
643,07039,47.9419,-122.2218,1
644,43050,40.464,-74.2742,17
645,95023,29.5405,-95.3208,6
646,54636,42.2973,-71.0745,9
647,47625,42.377,-71.1256,9
648,43228,40.0197,-82.3875,15
649,80241,39.8672,-105.0041,2
650,35228,33.0005,-96.8314,5
651,98031,32.9031,-96.5472,5
652,01569,34.2314,-87.5938,14
653,80003,36.7124,-78.1534,8
654,08088,40.6924,-73.9666,17
655,98125,47.6701,-122.3763,1
656,39443,37.5583,-77.4845,8
657,10025,29.5962,-95.4587,6
658,18944,32.3411,-90.3229,13
659,07104,40.3926,-79.9052,12
660,77035,40.0008,-75.0727,18
661,75219,32.8628,-96.7918,5
662,23112,40.8633,-73.8895,17
663,35020,33.2663,-86.902,14
664,77449,29.9766,-95.6358,6
665,08822,42.3669,-82.9938,10
666,07747,39.8088,-86.3163,16
667,81620,44.2427,-92.4256,7
668,11215,29.7517,-95.4054,6
669,28205,40.8488,-74.1612,17
670,07026,47.5614,-122.1552,1
671,35063,37.3518,-121.8508,0
672,75240,47.6621,-122.6981,1
673,19115,35.1065,-81.2201,4
674,98531,35.2081,-80.8583,4
675,60491,33.4459,-86.7502,14
676,60637,39.9539,-82.9301,15
677,80521,39.9523,-83.078,15
678,46037,40.0265,-79.5566,12
679,60619,41.4057,-80.3739,12
680,03031,40.3351,-79.9832,12
681,80488,40.9143,-74.1671,17
682,80206,40.8247,-73.894,17
683,02184,35.3183,-80.7476,4
684,19130,47.8954,-122.0716,1
685,98335,40.8621,-74.4117,17
686,98577,39.9671,-83.0044,15
687,19140,30.0615,-95.6821,6
688,34974,39.849,-86.272,16
689,28645,40.9057,-74.079,17
690,77034,47.4253,-120.3273,1
691,98042,43.3227,-91.7939,7
692,48214,42.3829,-71.1028,9
693,39042,37.4418,-77.0436,8
694,43062,44.2552,-93.0197,7
695,02745,42.3749,-83.1087,10
696,46234,47.6115,-122.1162,1
697,98112,40.8316,-73.9099,17
698,95065,39.8349,-82.8044,15
699,07430,40.7888,-74.0115,17
700,07728,40.0874,-74.1152,17
701,43206,37.0139,-121.5773,0
702,39648,40.9176,-74.5467,17
703,56001,42.4685,-82.9974,10
704,98105,41.0277,-74.6407,17
705,55009,37.3475,-77.3386,8
706,01909,39.5517,-104.8863,2
707,33040,37.3163,-121.9356,0
708,98155,40.3696,-80.0439,12
709,54755,39.9379,-75.1794,18
710,77090,32.3184,-90.2446,13
711,28262,39.8753,-105.0345,2
712,72360,29.8235,-95.1848,6
713,15522,39.665,-74.971,-1
714,19125,33.7392,-86.7726,14
715,35209,42.4984,-70.8653,9
716,07006,29.5785,-95.6066,6
717,27842,25.8486,-80.1446,3
718,76013,32.4757,-96.9936,5
719,23188,33.6581,-95.5379,5
720,80403,40.0974,-83.269,15
721,35147,35.2834,-80.8702,4
722,80743,42.3251,-71.0953,9
723,77346,40.8155,-79.5107,12
724,23803,37.1353,-121.6501,0
725,45169,40.8292,-74.1121,17
726,32836,48.0171,-122.0672,1
727,28202,32.8983,-96.1261,5
728,43085,35.1287,-80.9338,4
729,23294,40.7651,-73.9638,17
730,15650,40.8897,-74.4844,17
731,39465,39.9727,-82.8329,15
732,95020,41.9033,-87.6336,11
733,10029,33.7191,-85.8389,14
734,19114,40.8583,-73.9296,17
735,55927,42.3347,-71.0375,9
736,48044,40.0495,-83.0669,15
737,31626,33.094,-96.8836,5
738,98503,40.8085,-73.9198,17
739,32967,39.5414,-104.9218,2
740,15139,40.8904,-73.8503,17
741,98053,37.2803,-121.9539,0
742,80229,35.0167,-80.3781,4
743,27215,48.0966,-122.198,1
744,10027,33.5979,-86.3432,14
745,01901,40.2378,-75.2955,18
746,98382,40.2096,-74.0714,17
747,35244,31.81,-86.6229,-1
748,94557,30.0041,-95.2825,6
749,94066,40.8915,-74.0119,17
750,39645,39.9208,-85.3663,16
751,97818,37.3027,-78.4076,8
752,02129,38.7932,-82.9306,15
753,96002,25.8156,-80.1897,3
754,23233,37.6691,-77.3294,8
755,15853,29.919,-95.5569,6
756,24529,40.5681,-74.5397,17
757,77095,30.0729,-95.8104,6
758,33137,30.0532,-95.3773,6
759,19067,40.2011,-82.8749,15
760,75098,32.6041,-96.8653,5
761,75110,47.5058,-122.1157,1
762,75038,40.4322,-80.1021,12
763,43204,40.67,-73.9367,17
764,15425,39.6495,-86.8686,16
765,07828,35.5494,-80.4226,4
766,11237,40.444,-79.9552,12
767,46268,48.5274,-122.2329,1
768,28115,30.6829,-94.8976,6
769,07456,25.9097,-80.247,3
770,55920,46.6021,-120.5059,1
771,28021,40.4262,-105.09,2
772,77327,33.4883,-86.9766,14
773,93635,33.1976,-96.6153,5
774,75041,40.4587,-74.305,17
775,98028,40.1524,-82.882,15
776,93405,40.8135,-73.9381,17
777,28134,33.0033,-96.882,5
778,23116,37.296,-121.8939,0
779,48205,40.098,-75.1078,18
780,02151,41.8971,-87.6223,11
781,75062,39.3113,-105.0676,2
